Date/Time, Temperature A, Temperature B, Damper 
02/18/2018 14:32:39, 17.13668, 19.59244, 30
02/18/2018 15:32:47, 17.2478, 19.66744, 30
02/18/2018 16:32:57, 17.34225, 19.71466, 30
02/18/2018 17:32:59, 17.33114, 19.73133, 30
02/18/2018 18:32:59, 17.47282, 19.82579, 30
02/18/2018 19:33:04, 17.55894, 19.87579, 30
02/18/2018 20:33:07, 17.65617, 19.92857, 30
02/18/2018 21:33:12, 17.74784, 20.0008, 30
02/18/2018 22:33:13, 17.81451, 20.05636, 30
02/18/2018 23:33:18, 17.90897, 20.06747, 30
02/19/2018 00:33:22, 17.97008, 20.17304, 30
02/19/2018 01:33:24, 18.06731, 20.21471, 30
02/19/2018 02:33:26, 18.09231, 20.23693, 30
02/19/2018 03:33:28, 18.17287, 20.29805, 30
02/19/2018 04:33:30, 18.27566, 20.38139, 30
02/19/2018 05:33:31, 18.35067, 20.42305, 30
02/19/2018 06:33:34, 18.44512, 20.45362, 30
02/19/2018 07:33:40, 18.49235, 20.58973, 30
02/19/2018 08:33:42, 18.64792, 20.6064, 30
02/19/2018 09:33:44, 18.68681, 20.63974, 30
02/19/2018 10:33:52, 18.83404, 20.70364, 30
02/19/2018 11:34:01, 18.91183, 20.77031, 30
02/19/2018 12:34:04, 19.03128, 20.84809, 30
02/19/2018 13:34:13, 19.1424, 20.88143, 30
02/19/2018 14:34:15, 19.16462, 20.99533, 30
02/19/2018 15:34:15, 19.32019, 21.00921, 30
02/19/2018 16:34:16, 19.40909, 21.06199, 30
02/19/2018 17:34:24, 19.32853, 21.08699, 30
02/19/2018 18:34:30, 19.42575, 21.14256, 30
02/19/2018 19:34:31, 19.50354, 21.15645, 30
02/19/2018 20:34:37, 19.57299, 21.20367, 30
02/19/2018 21:34:43, 19.61744, 21.26479, 30
02/19/2018 22:34:49, 19.698, 21.32313, 30
02/19/2018 23:34:57, 19.79523, 21.36202, 30
02/20/2018 00:35:03, 19.82857, 21.42036, 30
02/20/2018 01:35:12, 19.89524, 21.45925, 30
02/20/2018 02:35:14, 19.93691, 21.49814, 30
02/20/2018 03:35:23, 20.02302, 21.53703, 30
02/20/2018 04:35:26, 20.05358, 21.67871, 30
02/20/2018 05:35:34, 20.24527, 21.60649, 30
02/20/2018 06:35:43, 20.2536, 21.72038, 30
02/20/2018 07:35:50, 20.33416, 21.76761, 30
02/20/2018 08:35:57, 20.38416, 21.81206, 30
02/20/2018 09:36:04, 20.40083, 21.85651, 30
02/20/2018 10:36:13, 20.51473, 21.95373, 30
