Date/Time, Zone, Temperature, Damper
02/14/2018 11:25:56, 1, 11.1751, 100
02/14/2018 12:25:58, 1, 11.38344, 88.33334
02/14/2018 13:25:58, 1, 11.61402, 30
02/14/2018 14:25:58, 1, 11.79737, 30
02/14/2018 15:26:00, 1, 11.91682, 30
02/14/2018 16:26:02, 1, 12.06127, 30
02/14/2018 17:26:09, 1, 12.17517, 30
02/14/2018 18:26:17, 1, 12.27241, 30
02/14/2018 19:26:23, 1, 12.39464, 30
02/14/2018 20:26:25, 1, 12.47242, 30
02/14/2018 21:26:31, 1, 12.59743, 30
02/14/2018 22:26:32, 1, 12.70855, 30
02/14/2018 23:26:32, 1, 12.79745, 30
02/15/2018 00:26:33, 1, 12.90301, 30
02/15/2018 01:26:35, 1, 13.11691, 30
02/15/2018 02:26:38, 1, 13.16136, 30
02/15/2018 03:26:42, 1, 13.29193, 30
02/15/2018 04:26:43, 1, 13.36138, 30
02/15/2018 05:26:46, 1, 13.48361, 30
02/15/2018 06:26:52, 1, 13.65307, 30
02/15/2018 07:26:53, 1, 13.70029, 30
02/15/2018 08:26:57, 1, 13.85309, 30
02/15/2018 09:26:59, 1, 13.92254, 30
02/15/2018 10:27:07, 1, 14.09477, 30
02/15/2018 11:27:09, 1, 14.21978, 30
02/15/2018 12:27:12, 1, 14.3559, 30
02/15/2018 13:27:20, 1, 14.42258, 70.83334
02/15/2018 14:27:23, 1, 14.56981, 100
02/15/2018 15:27:31, 1, 14.67815, 100
02/15/2018 16:27:34, 1, 14.87261, 100
02/15/2018 17:27:39, 1, 14.93651, 100
02/15/2018 18:27:39, 1, 15.07263, 100
02/15/2018 19:27:45, 1, 15.17264, 100
02/15/2018 20:27:46, 1, 15.27264, 100
02/15/2018 21:27:47, 1, 15.38932, 100
02/15/2018 22:27:53, 1, 15.56433, 100
02/15/2018 23:27:59, 1, 15.65601, 100
02/16/2018 00:28:05, 1, 15.76157, 100
02/16/2018 01:28:10, 1, 15.86991, 100
02/16/2018 02:28:15, 1, 16.0227, 100
02/16/2018 03:28:21, 1, 16.14215, 100
02/16/2018 04:28:27, 1, 16.26717, 100
02/16/2018 05:28:33, 1, 16.35884, 100
02/16/2018 06:28:38, 1, 16.4783, 100
02/16/2018 07:28:43, 1, 16.54775, 100
02/16/2018 08:28:47, 1, 16.7311, 100
02/16/2018 09:28:50, 1, 16.14771, 65
02/16/2018 10:28:51, 1, 16.29495, 30
02/16/2018 11:28:55, 1, 16.43663, 30
02/16/2018 12:28:56, 1, 16.53108, 30
02/16/2018 13:29:01, 1, 16.61164, 30
02/16/2018 14:29:05, 1, 16.63942, 30
02/16/2018 15:29:11, 1, 16.70609, 30
02/16/2018 16:29:12, 1, 16.73387, 30
02/16/2018 17:29:21, 1, 16.79221, 30
02/16/2018 18:29:26, 1, 16.87277, 30
02/16/2018 19:29:30, 1, 16.92, 30
02/16/2018 20:29:35, 1, 16.99778, 30
02/16/2018 21:29:40, 1, 17.03112, 30
02/16/2018 22:29:43, 1, 17.09224, 30
02/16/2018 23:29:46, 1, 17.12557, 30
02/17/2018 00:29:51, 1, 17.2228, 30
02/17/2018 01:29:55, 1, 17.32003, 30
02/17/2018 02:30:00, 1, 17.38948, 30
02/17/2018 03:30:04, 1, 17.46449, 30
02/17/2018 04:30:09, 1, 17.44782, 30
02/17/2018 05:30:11, 1, 17.56172, 30
02/17/2018 06:30:15, 1, 17.59505, 30
02/17/2018 07:30:20, 1, 17.70895, 30
02/17/2018 08:30:26, 1, 17.7145, 30
02/17/2018 09:30:30, 1, 17.83674, 30
02/17/2018 10:30:34, 1, 17.87007, 30
02/17/2018 11:30:37, 1, 17.92841, 30
02/17/2018 12:30:45, 1, 18.00064, 30
02/17/2018 13:30:51, 1, 18.02286, 30
02/17/2018 14:30:58, 1, 18.0812, 30
02/17/2018 15:31:01, 1, 18.14787, 30
02/17/2018 16:31:06, 1, 18.27288, 30
02/17/2018 17:31:09, 1, 18.37567, 30
02/17/2018 18:31:16, 1, 18.38123, 30
02/17/2018 19:31:18, 1, 18.42289, 30
02/17/2018 20:31:23, 1, 18.50068, 30
02/17/2018 21:31:30, 1, 18.5618, 30
02/17/2018 22:31:33, 1, 18.64514, 30
02/17/2018 23:31:36, 1, 18.68959, 30
02/18/2018 00:31:39, 1, 18.7257, 30
02/18/2018 01:31:46, 1, 18.77292, 30
02/18/2018 02:31:51, 1, 18.83126, 30
02/18/2018 03:31:57, 1, 18.87293, 30
02/18/2018 04:32:00, 1, 18.96461, 30
