Date/Time, Temperature 
01/03/2018 14:53:37, 155.81
01/03/2018 16:53:39, 155.64
01/03/2018 18:53:43, 155.755
01/03/2018 20:53:46, 155.96
01/03/2018 22:53:47, 155.81
01/04/2018 00:53:57, 155.81
01/04/2018 02:54:06, 155.905
01/04/2018 04:54:16, 155.635
01/04/2018 06:54:25, 155.785
01/04/2018 08:54:35, 155.725
01/04/2018 10:54:45, 155.745
01/04/2018 12:54:45, 155.68
01/04/2018 14:54:51, 155.9
01/04/2018 16:54:57, 155.87
01/04/2018 18:55:03, 155.845
01/04/2018 20:55:09, 155.965
01/04/2018 22:55:15, 155.93
01/05/2018 00:55:21, 156.015
01/05/2018 02:55:27, 156.06
01/05/2018 04:55:33, 156.06
01/05/2018 06:55:39, 155.995
01/05/2018 08:55:45, 156.07
01/05/2018 10:55:53, 156.08
01/05/2018 12:56:01, 156.015
01/05/2018 14:56:07, 156.11
01/05/2018 16:56:13, 156.1
01/05/2018 18:56:19, 156.09
01/05/2018 20:56:25, 156.17
01/05/2018 22:56:31, 156.215
01/06/2018 00:56:36, 156.145
01/06/2018 02:56:42, 156.29
01/06/2018 04:56:48, 156.28
01/06/2018 06:56:54, 156.23
