Date/Time, Zone, Temperature, Damper, Duct Pressure, Blower Speed, PFRP Time
02/14/2024 18:34:43, 1, 57.49271, 100, 32.50843, 100, 326
02/14/2024 18:49:46, 1, 57.54008, 100, 32.06067, 100, 327
02/14/2024 19:04:49, 1, 57.51224, 100, 31.99168, 100, 328
02/14/2024 19:19:50, 1, 57.49856, 100, 32.23247, 100, 329
02/14/2024 19:34:54, 1, 57.54301, 100, 32.27711, 100, 330
02/14/2024 19:49:57, 1, 57.649, 100, 22.05418, 100, 331
02/14/2024 20:05:00, 1, 57.58013, 100, 8.575788, 100, 332
02/14/2024 20:20:00, 1, 57.62946, 100, 0.1838403, 100, 333
02/14/2024 20:35:05, 1, 57.5728, 100, 0, 100, 334
02/14/2024 20:50:09, 1, 57.59869, 100, 0, 100, 335
02/14/2024 21:05:10, 1, 57.68221, 100, 0, 100, 336
